T0,T0/M0,taufractip,taufraclength,tauasymm,mapfractip,mapfraclength,mapasymm,L
0.01,0.1,0,0.028,0,0,0,0,29.3
0.01,0.1,0.1818,0.0556,3.2727,0,0,0,17.7787
0.01,0.1,0,0,0,0,0,0,10
0.1,1,0.4545,0.1523,2.9842,0,0.0464,0,26.772
0.1,1,0.3636,0.1533,2.3723,0,0.0535,0,67.5027
0.1,1,0.2727,0.2773,0.9835,0,0.0756,0,25.6953
0.5,5,0.4545,0.2977,1.5271,0,0.2193,0,51.861
0.5,5,0.4545,0.3195,1.4226,0.0909,0.1854,0.4904,42.5329
0.5,5,0.7273,0.3305,2.2005,0,0.2189,0,89.5747
1,10,0.5455,0.4116,1.3253,0,0.2825,0,84.5254
1,10,0.4545,0.4182,1.0868,0.0909,0.2537,0.3583,87.6822
1,10,0.9091,0.4062,2.238,0,0.2704,0,66.6859